controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
a2c,noise,16,121488.88804384154,111989.11270924794,131119.85270972835
a2c,noise,17,132762.17544342682,122705.50335064904,143197.11514537202
a2c,noise,18,147143.40573683532,136083.97088607372,157193.28578245873
a2c,noise,19,160997.94933614912,149653.34495382608,171626.47796843553
a2c,noise,20,175255.36210810766,162955.62875931014,186133.91252757437
a2c,noise,21,191692.91554569345,179555.3243247498,203283.57512868225
a2c,noise,22,203151.22895506807,191861.14663816782,213387.69871285078
a2c,noise,23,215590.75100797237,203159.56799973294,226955.80274513655
a2c,noise,24,230324.81810066404,218270.2079226512,239510.96191518565
a2c,noise,25,368284.858322638,354017.05784475524,380568.7790871148
a2c,split_policy_dynamics,0,0.0,0.0,0.0
a2c,split_policy_dynamics,1,0.0,0.0,0.0
a2c,split_policy_dynamics,2,0.0,0.0,0.0
a2c,split_policy_dynamics,3,0.0,0.0,0.0
a2c,split_policy_dynamics,4,305.4160396365461,-363.8204368248516,858.0227814443193
a2c,split_policy_dynamics,5,1812.9894959639398,620.0293608410784,2851.4569842149767
a2c,split_policy_dynamics,6,2920.8498710013373,199.88083059965751,4952.776205853115
a2c,split_policy_dynamics,7,8439.121038552044,5444.458604267418,11300.278585647256
a2c,split_policy_dynamics,8,15981.949252200053,13410.919800440584,17880.93558474085
a2c,split_policy_dynamics,9,23716.355399432545,17755.807403966985,27438.432829632537
a2c,split_policy_dynamics,10,38906.541904480284,36708.05734268772,41644.21798242733
a2c,split_policy_dynamics,11,52531.97222828806,49802.76385447291,55633.28689542586
a2c,split_policy_dynamics,12,66502.27516292698,60221.136782790236,70792.07845190672
a2c,split_policy_dynamics,13,81596.66758612696,74862.50954394476,86887.12240872187
a2c,split_policy_dynamics,14,100550.03465859553,96676.05966329834,105824.08525157529
a2c,split_policy_dynamics,15,119619.8686612784,116022.10135120574,123923.09734676222
a2c,split_policy_dynamics,16,135359.98105131305,130787.91472400517,140320.57923967484
a2c,split_policy_dynamics,17,152055.68774366283,146679.48062779516,156788.2933847229
a2c,split_policy_dynamics,18,169380.7791074528,163525.8817692936,174418.10590110585
a2c,split_policy_dynamics,19,181997.91103795907,176245.32414871678,187109.74927537405
a2c,split_policy_dynamics,20,196760.27792867235,191351.32522705855,202950.88758798334
a2c,split_policy_dynamics,21,210979.6585959409,205652.19519127836,217126.44239297602
a2c,split_policy_dynamics,22,224626.5538600932,217904.53076671393,232004.24361643032
a2c,split_policy_dynamics,23,237023.2029870229,230896.4364711907,245519.2310917864
a2c,split_policy_dynamics,24,249665.93811294506,240848.23606638776,259832.3950968256
a2c,split_policy_dynamics,25,373418.05619953247,357355.5751965939,393606.2664134682
