controller,scenario_name,interactive_week,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper
profit_oriented,base_market,24,59310.538964545936,43002.73489445609,74390.4116120936
profit_oriented,base_market,25,99091.38795063416,86634.18556958264,115719.85469021
profit_oriented,class_imbalance_shift,0,-163.72815607175633,-226.15684176471638,-109.57542423646333
profit_oriented,class_imbalance_shift,1,-316.23246999561167,-396.8164223506256,-248.34570731371525
profit_oriented,class_imbalance_shift,2,-479.2341576687147,-538.0269806445696,-429.5838478104149
profit_oriented,class_imbalance_shift,3,-565.3470949758162,-640.4151304236846,-495.09188970160204
profit_oriented,class_imbalance_shift,4,-1120.456005056951,-2134.4988887268287,-26.33806141654871
profit_oriented,class_imbalance_shift,5,-2069.24930301189,-4147.35427103392,-312.23513946120084
profit_oriented,class_imbalance_shift,6,-4510.591212119377,-7874.577589807118,-375.7587721801152
profit_oriented,class_imbalance_shift,7,-6494.57378280464,-12459.290983954908,-1081.2136065122334
profit_oriented,class_imbalance_shift,8,-9418.064357980116,-15054.230862153612,-2624.2269775508867
profit_oriented,class_imbalance_shift,9,-7369.321602559721,-13436.315904941719,-1450.7627414410495
profit_oriented,class_imbalance_shift,10,-3655.8261896465215,-9165.811295117917,3479.330026664864
profit_oriented,class_imbalance_shift,11,-1934.7458589946582,-8343.004308094702,6485.553897524905
profit_oriented,class_imbalance_shift,12,-3638.257175432304,-11464.983195429617,7046.683092957163
profit_oriented,class_imbalance_shift,13,-2619.3275423002465,-11983.418631224997,8013.662895014087
profit_oriented,class_imbalance_shift,14,3505.091973612009,-5236.112043428673,12158.876872032186
profit_oriented,class_imbalance_shift,15,7269.437326793908,-3935.798273886296,19235.64495094885
profit_oriented,class_imbalance_shift,16,13433.075936729912,2123.023529305125,26131.56728966268
profit_oriented,class_imbalance_shift,17,17995.53227398179,5520.894108596172,30922.46647146449
profit_oriented,class_imbalance_shift,18,22528.201248312293,9328.542268465091,37458.5690280131
profit_oriented,class_imbalance_shift,19,23895.077212516626,10437.790633012983,39929.30426947871
profit_oriented,class_imbalance_shift,20,31348.219303921494,18858.527993646952,46868.746410843174
profit_oriented,class_imbalance_shift,21,37842.6347148505,24575.73398649924,53176.05336994697
profit_oriented,class_imbalance_shift,22,40415.076839494744,27670.65344479517,55584.02599239039
profit_oriented,class_imbalance_shift,23,44438.36481061286,30361.572306806884,60767.72161874263
profit_oriented,class_imbalance_shift,24,47047.68294448741,31854.828374000936,65247.15699877172
profit_oriented,class_imbalance_shift,25,78679.90697710078,63175.703548181256,96612.24515277185
profit_oriented,drift,0,-121.5831012291576,-164.0630048905824,-81.89638675886461
profit_oriented,drift,1,-242.63840383037106,-312.64993999371455,-187.38030418770384
profit_oriented,drift,2,-331.5511694663733,-406.91232938503447,-264.69838374015563
profit_oriented,drift,3,-428.11242743508836,-495.77641758777196,-354.0563519445111
profit_oriented,drift,4,-2565.242718142583,-5022.141177003351,-473.8640428244969
profit_oriented,drift,5,-4928.954299370685,-7017.868475189416,-2222.6108013241837
profit_oriented,drift,6,-6023.886131214172,-9155.903572255593,-3374.968854831441
profit_oriented,drift,7,-6812.118868048153,-10784.224675529305,-3402.5121465243415
profit_oriented,drift,8,-11858.595435662812,-16379.726222723795,-7529.787715504996
profit_oriented,drift,9,-8566.04327923333,-11957.786967752041,-4767.849228982743
profit_oriented,drift,10,-6451.908334199131,-9557.045186415522,-2481.7920807939367
profit_oriented,drift,11,-3071.25192719936,-5958.108193425101,1117.257250251505
profit_oriented,drift,12,3644.917857116788,-2382.4869984101542,8902.430423044018
profit_oriented,drift,13,8005.311432739163,3355.652917875218,13852.91145724245
profit_oriented,drift,14,3338.6840188126735,-3119.4190682593307,10601.859513178202
profit_oriented,drift,15,9143.313389557674,2544.6911502223143,17865.757979047554
profit_oriented,drift,16,11266.629315634396,1501.708638885021,22596.4041471722
profit_oriented,drift,17,14151.567019280124,2075.7650237959497,25988.09495048019
profit_oriented,drift,18,16717.774170250475,9380.855700908784,26945.21638369434
profit_oriented,drift,19,21646.19295859127,14244.798093617172,31356.008228939987
profit_oriented,drift,20,26590.22518533339,17960.38135081224,35655.003808218404
profit_oriented,drift,21,28362.71473489467,20090.88646718288,39310.12020190227
profit_oriented,drift,22,31078.346494471338,19472.99784994783,43015.45022336467
profit_oriented,drift,23,31253.915882063768,19220.10730387742,42846.93055934188
profit_oriented,drift,24,35946.966780973795,25263.945284399982,46324.64603959422
profit_oriented,drift,25,68132.12023817618,56517.95632464939,79232.41984418109
profit_oriented,noise,0,-158.0897537309941,-223.58696354704364,-91.53479008951062
profit_oriented,noise,1,-358.0659106753194,-447.73164903838034,-284.1575496427528
profit_oriented,noise,2,-494.01371692221045,-579.3223892292375,-391.8827780582088
profit_oriented,noise,3,-734.534809975196,-829.7957375045089,-630.4846488618082
profit_oriented,noise,4,-2713.271434474637,-4043.414273363254,-1263.1137352725525
profit_oriented,noise,5,-4443.309003796334,-7932.276303517356,-814.4853092862313
profit_oriented,noise,6,-5783.770382546372,-9466.636989815202,-2753.6007118807893
profit_oriented,noise,7,-9060.44058866195,-14841.887905650565,-3581.229766712482
profit_oriented,noise,8,-5376.848238765975,-9970.817672362178,-1393.717596387564
profit_oriented,noise,9,-7594.0023267346,-15327.994747748942,-2198.151406505781
profit_oriented,noise,10,-6117.382566048344,-17894.824975143518,4043.1482082810658
profit_oriented,noise,11,-6260.609712923691,-21970.5593267581,8386.784288190685
profit_oriented,noise,12,-5960.888150312358,-20960.117518808584,7507.421855936627
profit_oriented,noise,13,769.3137520812106,-10577.418629317388,11166.184150185067
profit_oriented,noise,14,2605.268992276972,-9188.404255953403,13919.755159954555
profit_oriented,noise,15,8130.706218621656,-4049.8854363172572,20026.23064717559
profit_oriented,noise,16,16949.22818031437,1107.3737019657963,29342.616630172583
profit_oriented,noise,17,14774.57477150792,3610.215138834972,24203.232946481716
profit_oriented,noise,18,21184.748898851118,7035.105644997877,33106.67586690407
profit_oriented,noise,19,23474.382555726468,8342.019640816678,37117.25293853933
profit_oriented,noise,20,32116.125347238984,16443.773161059646,46306.18231180585
profit_oriented,noise,21,41134.33544341804,23481.324515901717,57751.83583149131
profit_oriented,noise,22,44290.53361953972,26849.91852628715,61549.541698884175
profit_oriented,noise,23,47707.84105520393,30923.640995888927,63363.310309089975
profit_oriented,noise,24,53259.544780945515,37015.46809455499,69897.03930948982
profit_oriented,noise,25,112586.40431642241,89192.79817570659,134216.75670405786
profit_oriented,split_policy_dynamics,0,-183.92273539778577,-288.2240070615759,-109.01380340203639
profit_oriented,split_policy_dynamics,1,-319.20910718537317,-429.9191515841364,-219.34355586888148
profit_oriented,split_policy_dynamics,2,-550.1160936499451,-668.6622258481531,-426.0776402070389
profit_oriented,split_policy_dynamics,3,-699.353492627387,-834.9246929380021,-580.4239493115147
profit_oriented,split_policy_dynamics,4,-2329.3616739822364,-3745.1694664552506,-762.4550989687843
profit_oriented,split_policy_dynamics,5,-4711.691384951092,-7938.0944803917755,-1969.2542547817498
profit_oriented,split_policy_dynamics,6,-6929.094962880144,-11320.904994579436,-2622.93410633676
profit_oriented,split_policy_dynamics,7,-11338.772780021522,-16474.975778457476,-6493.312320911884
profit_oriented,split_policy_dynamics,8,-9717.463313298684,-15696.940105179568,-4813.087651573452
profit_oriented,split_policy_dynamics,9,-9648.454937260642,-14118.973133028163,-5298.697744497607
profit_oriented,split_policy_dynamics,10,-4071.0733813265147,-9044.181304772863,642.6201850987669
profit_oriented,split_policy_dynamics,11,-513.7769826941756,-6505.934524767285,5879.2838730573785
profit_oriented,split_policy_dynamics,12,3840.471472169955,-2586.478231488684,12450.688829932722
profit_oriented,split_policy_dynamics,13,9903.73963958856,1665.170764805815,17303.47704280083
profit_oriented,split_policy_dynamics,14,16191.176843274958,6911.682748149342,24279.364654983165
profit_oriented,split_policy_dynamics,15,22050.137354628034,10757.021258388282,34115.34715539196
profit_oriented,split_policy_dynamics,16,31204.187094957146,18254.86676950255,47674.51487626955
profit_oriented,split_policy_dynamics,17,36645.403582029896,17958.77401487524,55587.48561779517
profit_oriented,split_policy_dynamics,18,41088.19071713022,23152.927179048358,60686.735039623665
profit_oriented,split_policy_dynamics,19,44974.25463423813,27417.149198373034,61836.80313187329
profit_oriented,split_policy_dynamics,20,56200.27611361339,39706.211839305215,76219.95862294336
profit_oriented,split_policy_dynamics,21,66411.24331286566,50400.91217118002,85051.21875085437
profit_oriented,split_policy_dynamics,22,71090.39983122285,56212.30400876347,90646.17397196534
profit_oriented,split_policy_dynamics,23,76952.58432289252,57852.08270976208,97564.536193104
profit_oriented,split_policy_dynamics,24,82406.52486199739,64965.01002029468,103521.03277799697
profit_oriented,split_policy_dynamics,25,144843.01562302237,123855.0868506695,167648.57576917324
risk_aware_weekly,adverse_stress,0,-447.74387494290255,-491.99488453835124,-404.65055792760376
risk_aware_weekly,adverse_stress,1,-911.8329115825586,-938.7630105871555,-881.1972652726664
risk_aware_weekly,adverse_stress,2,-1368.0078640583215,-1429.4550310374095,-1302.5265453116504
risk_aware_weekly,adverse_stress,3,-1837.1250737063954,-1909.7412461857564,-1756.9246011903472
risk_aware_weekly,adverse_stress,4,-2589.5006670378566,-3680.1697374019104,-1759.9143728925562
risk_aware_weekly,adverse_stress,5,-3319.3342733441764,-5741.9484446701435,-863.6151765860135
risk_aware_weekly,adverse_stress,6,-6991.493222757573,-10109.173444078333,-3921.5786650151617
risk_aware_weekly,adverse_stress,7,-14397.388439787012,-19357.982993944475,-10577.570386625615
risk_aware_weekly,adverse_stress,8,-22218.530576989408,-29339.516071719376,-16468.46655619251
risk_aware_weekly,adverse_stress,9,-27233.85953003442,-38374.32318680241,-18604.64118681438
risk_aware_weekly,adverse_stress,10,-36107.24944095637,-45391.689718757276,-27889.51399793984
risk_aware_weekly,adverse_stress,11,-40869.75063892853,-53551.62524466589,-29550.497818668882
risk_aware_weekly,adverse_stress,12,-43544.60775926215,-56771.425720071355,-30394.991721037004
risk_aware_weekly,adverse_stress,13,-42952.37898847256,-61141.875105290084,-28502.07763239674
risk_aware_weekly,adverse_stress,14,-48441.31648707052,-68481.00343022704,-32997.60980619701
risk_aware_weekly,adverse_stress,15,-49021.245025339995,-70569.74908906485,-30443.448146317656
risk_aware_weekly,adverse_stress,16,-50119.73094046109,-68328.18904076032,-33453.767365622836
risk_aware_weekly,adverse_stress,17,-52966.73119362688,-69501.67690843096,-33506.018181743726
risk_aware_weekly,adverse_stress,18,-50314.6031815986,-66786.64738520233,-29138.313420344966
risk_aware_weekly,adverse_stress,19,-50637.49820950793,-68088.98140433915,-28185.803234008807
risk_aware_weekly,adverse_stress,20,-53665.546665313326,-73108.02566880838,-30358.503030332507
risk_aware_weekly,adverse_stress,21,-56813.61181924301,-81792.95895591154,-30754.682090623803
risk_aware_weekly,adverse_stress,22,-61943.058172217025,-87927.83655373883,-37581.72721025853
risk_aware_weekly,adverse_stress,23,-62123.98577454371,-87340.2571138268,-38625.787768546696
risk_aware_weekly,adverse_stress,24,-64234.75878208014,-91514.00769224242,-37786.46763831501
risk_aware_weekly,adverse_stress,25,-74901.41451905272,-97701.42486687779,-46121.448213172014
